ca_yr,yr,x,y_cat,data_type
2007,65,-594341,1378000,O
2008,66,-743339,1378000,O
2004,62,-499464,1378000,O
2001,59,-635046,1378000,O
2015,73,-693882,1378000,O
2005,63,-658261,1378000,O
2002,60,-677510,1378000,O
2011,69,-628276,1378000,O
2016,74,-590903,1378000,O
2014,72,-614360,1378000,O
2002,60,-592699,1378000,O
1999,57,-635245,1378000,O
1999,57,-611018,1378000,O
1977,35,-706122,1378000,O
1978,36,-830966,1378000,O
1998,56,-664466,1378000,O
1993,51,-742919,1378000,O
1996,54,-707759,1378000,O
1995,53,-758569,1378000,O
1977,35,-599656,1378000,O
1999,57,-633283,1378000,O
1998,56,-596727,1378000,O
1991,49,-646271,1378000,O
1977,35,-780049,1378000,O
1995,53,-753511,1378000,O
1999,57,-657013,1378000,O
1999,57,-657013,1378000,O
1997,55,-590213,1378000,O
1992,50,-579589,1378000,O
2006,64,-761016,1378000,O
2011,69,-756667,1378000,O
2006,64,-607720,1378000,O
2013,71,-735719,1378000,O
2001,59,-642990,1378000,O
2015,73,-637081,1378000,O
2014,72,-626068,1378000,O
2010,68,-631123,1378000,O
2016,74,-671134,1378000,O
2001,59,-722532,1378000,O
2001,59,-646780,1378000,O
2003,61,-661031,1378000,O
2011,69,-743041,1378000,O
2007,65,-747503,1378000,O
2006,64,-619918,1378000,O
2014,72,-746860,1378000,O
2002,60,-610848,1378000,O
2005,63,-600579,1378000,O
2008,66,-612493,1378000,O
2014,72,-597298,1378000,O
2002,60,-848429,1378000,O
2016,74,-699586,1378000,O
2007,65,-806956,1378000,O
2000,58,-700691,1378000,O
2011,69,-649918,1378000,O
1987,45,-707868,1378000,O
1995,53,-588559,1378000,O
1986,44,-676565,1378000,O
1995,53,-567880,1378000,O
1979,37,-614382,1378000,O
1977,35,-576818,1378000,O
1991,49,-602594,1378000,O
1993,51,-624257,1378000,O
1992,50,-566719,1378000,O
1998,56,-728060,1378000,O
1980,38,-686231,1378000,O
1989,47,-691071,1378000,O
1997,55,-644156,1378000,O
1995,53,-836706,1378000,O
1998,56,-804872,1378000,O
1998,56,-799576,1378000,O
1997,55,-702151,1378000,O
1998,56,-644156,1378000,O
1991,49,-589921,1378000,O
1995,53,-739951,1378000,O
1993,51,-541960,1378000,O
1983,41,-595628,1378000,O
1983,41,-598562,1378000,O
1985,43,-604823,1378000,O
1985,43,-611363,1378000,O
2002,60,-545066,1378000,O
2007,65,-632400,1378000,O
2004,62,-593612,1378000,O
2010,68,-666480,1378000,O
2012,70,-672344,1378000,O
2012,70,-676946,1378000,O
2015,73,-713530,1378000,O
2000,58,-543001,1378000,O
2000,58,-650636,1378000,O
2009,67,-645741,1378000,O
2008,66,-632599,1378000,O
2012,70,-663266,1378000,O
2003,61,-701561,1378000,O
2001,59,-796715,1378000,O
2011,69,-631123,1378000,O
2007,65,-597626,1378000,O
2009,67,-618632,1378000,O
2014,72,-653539,1378000,O
2003,61,-464192,1378000,O
2007,65,-691925,1378000,O
2008,66,-650769,1378000,O
2015,73,-668032,1378000,O
2006,64,-483569,1378000,O
2015,73,-613217,1378000,O
1993,51,-748938,1378000,O
1995,53,-732402,1378000,O
1995,53,-674648,1378000,O
1987,45,-657400,1378000,O
1991,49,-658483,1378000,O
1986,44,-701115,1378000,O
1999,57,-666969,1378000,O
1991,49,-664621,1378000,O
1995,53,-624705,1378000,O
1990,48,-599188,1378000,O
1997,55,-574859,1378000,O
1995,53,-563373,1378000,O
1995,53,-593460,1378000,O
1984,42,-574772,1378000,O
1998,56,-672158,1378000,O
1987,45,-577531,1378000,O
1983,41,-724450,1378000,O
1991,49,-667570,1378000,O
1994,52,-660145,1378000,O
1992,50,-566298,1378000,O
1998,56,-562341,1378000,O
1999,57,-693364,1378000,O
1999,57,-708429,1378000,O
2003,61,-879065,1378000,O
2004,62,-720049,1378000,O
2004,62,-711638,1378000,O
2013,71,-632924,1378000,O
2013,71,-629431,1378000,O
2005,63,-589688,1378000,O
2007,65,-662649,1378000,O
2010,68,-675068,1378000,O
2015,73,-689170,1378000,O
2016,74,-688391,1378000,O
2010,68,-802663,1378000,O
2002,60,-544101,1378000,O
1977,35,-669512,1378000,O
2003,61,-687698,1378000,O
2013,71,-633730,1378000,O
2007,65,-579584,1378000,O
2002,60,-625791,1378000,O
2008,66,-756960,1378000,O
2010,68,-720127,1378000,O
2015,73,-769801,1378000,O
2000,58,-690387,1378000,O
2006,64,-708429,1378000,O
2007,65,-616524,1378000,O
2008,66,-691259,1378000,O
2008,66,-694023,1378000,O
2009,67,-759878,1378000,O
2010,68,-631123,1378000,O
2010,68,-631123,1378000,O
2010,68,-740183,1378000,O
2013,71,-633535,1378000,O
2016,74,-622922,1378000,O
2016,74,-626902,1378000,O
2005,63,-604237,1378000,O
2005,63,-689634,1378000,O
2008,66,-636150,1378000,O
2006,64,-690196,1378000,O
1976,34,-574983,1378000,O
1976,34,-585929,1378000,O
1976,34,-568757,1378000,O
2006,64,-490987,1378000,O
2000,58,-537400,1378000,O
2014,72,-608390,1378000,O
2014,72,-621565,1378000,O
2000,58,-726930,1378000,O
2009,67,-459640,1378000,O
2014,72,-666453,1378000,O
2016,74,-630969,1378000,O
2008,66,-687981,1378000,O
2005,63,-753760,1378000,O
2000,58,-685116,1378000,O
1995,53,-509189,1378000,O
2007,65,-719530,1378000,O
2002,60,-572469,1378000,O
2000,58,-618808,1378000,O
2010,68,-626570,1378000,O
1977,35,-718534,1378000,O
1997,55,-590312,1378000,O
1989,47,-761059,1378000,O
1988,46,-725836,1378000,O
1993,51,-716595,1378000,O
1995,53,-379338,1378000,O
2003,61,-609568,1378000,O
2004,62,-589961,1378000,O
2001,59,-659611,1378000,O
2007,65,-537941,1378000,O
2007,65,-708604,1378000,O
2002,60,-647708,1378000,O
2006,64,-700770,1378000,O
2014,72,-632537,1378000,O
2014,72,-694441,1378000,O
2015,73,-640992,1378000,O
2010,68,-503783,1378000,O
1990,48,-608952,1378000,O
1985,43,-613426,1378000,O
2009,67,-710483,1378000,O
1982,40,-732435,1378000,O
2004,62,-620462,1378000,O
2009,67,-625358,1378000,O
2009,67,-625358,1378000,O
2009,67,-618030,1378000,O
1996,54,-701753,1378000,O
1977,35,-661266,1378000,O
1993,51,-742941,1378000,O
1998,56,-666761,1378000,O
1982,40,-696208,1378000,O
1999,57,-650786,1378000,O
1998,56,-714367,1378000,O
1994,52,-625215,1378000,O
1998,56,-759047,1378000,O
1989,47,-639785,1378000,O
1998,56,-709723,1378000,O
1977,35,-723085,1378000,O
1995,53,-678948,1378000,O
2002,60,-633087,1378000,O
2005,63,-625677,1378000,O
2005,63,-604355,1378000,O
2005,63,-593612,1378000,O
2005,63,-623113,1378000,O
2006,64,-625482,1378000,O
2006,64,-626570,1378000,O
2004,62,-607882,1378000,O
2000,58,-689104,1378000,O
2008,66,-730889,1378000,O
2006,64,-428856,1378000,O
2007,65,-594785,1378000,O
2011,69,-677029,1378000,O
2000,58,-468583,1378000,O
2007,65,-495891,1378000,O
2003,61,-726712,1378000,O
1986,44,-576612,1378000,O
2006,64,-610197,1378000,O
2012,70,-705274,1378000,O
1983,41,-711638,1378000,O
2015,73,-712191,1378000,O
2013,71,-633535,1378000,O
2005,63,-658036,1378000,O
1990,48,-678871,1378000,O
1992,50,-690857,1378000,O
1996,54,-857667,1378000,O
1981,39,-725388,1378000,O
1977,35,-587465,1378000,O
1993,51,-800224,1378000,O
1997,55,-752088,1378000,O
1995,53,-742830,1378000,O
1998,56,-629729,1378000,O
2006,64,-812851,1378000,O
1998,56,-651220,1378000,O
1998,56,-652600,1378000,O
1983,41,-590503,1378000,O
1994,52,-1109844,1378000,O
1997,55,-659293,1378000,O
1990,48,-478959,1378000,O
1997,55,-739951,1378000,O
1998,56,-675105,1378000,O
1998,56,-577531,1378000,O
1992,50,-646271,1378000,O
1977,35,-592876,1378000,O
1986,44,-588669,1378000,O
1992,50,-655982,1378000,O
1996,54,-707546,1378000,O
1988,46,-568002,1378000,O
1996,54,-647991,1378000,O
1997,55,-575749,1378000,O
1999,57,-648994,1378000,O
1995,53,-720364,1378000,O
1998,56,-668015,1378000,O
1983,41,-798305,1378000,O
1996,54,-625596,1378000,O
1993,51,-755917,1378000,O
1992,50,-690857,1378000,O
1997,55,-631914,1378000,O
2007,65,-625596,1378000,O
2001,59,-827096,1378000,O
2004,62,-671996,1378000,O
2005,63,-610830,1378000,O
2008,66,-561453,1378000,O
2010,68,-899593,1378000,O
2016,74,-699666,1378000,O
2009,67,-715298,1378000,O
2000,58,-632614,1378000,O
2008,66,-758177,1378000,O
1976,34,-554175,1378000,O
1976,34,-575015,1378000,O
2015,73,-623351,1378000,O
2016,74,-630893,1378000,O
2002,60,-614864,1378000,O
2005,63,-613588,1378000,O
2008,66,-779088,1378000,O
2010,68,-791163,1378000,O
2003,61,-743628,1378000,O
2004,62,-674011,1378000,O
2004,62,-674011,1378000,O
2015,73,-673426,1378000,O
2008,66,-527229,1378000,O
2016,74,-641590,1378000,O
2014,72,-724486,1378000,O
2008,66,-756939,1378000,O
2000,58,-703518,1378000,O
2000,58,-703518,1378000,O
2002,60,-655987,1378000,O
2004,62,-655987,1378000,O
2005,63,-655099,1378000,O
2005,63,-607367,1378000,O
2007,65,-606081,1378000,O
2016,74,-695276,1378000,O
2008,66,-586329,1378000,O
2012,70,-633721,1378000,O
2001,59,-703903,1378000,O
2001,59,-704965,1378000,O
2008,66,-637939,1378000,O
2010,68,-694243,1378000,O
1998,56,-778235,1378000,O
1995,53,-650936,1378000,O
2000,58,-647432,1378000,O
1995,53,-732008,1378000,O
1989,47,-611092,1378000,O
1998,56,-539918,1378000,O
1986,44,-617972,1378000,O
1999,57,-542843,1378000,O
1994,52,-631695,1378000,O
1998,56,-790234,1378000,O
1999,57,-771775,1378000,O
2012,70,-787970,1378000,O
2015,73,-605762,1378000,O
2015,73,-629800,1378000,O
2000,58,-444821,1378000,O
2000,58,-537167,1378000,O
2001,59,-550355,1378000,O
2005,63,-532766,1378000,O
2006,64,-533866,1378000,O
2007,65,-678459,1378000,O
1993,51,-775540,1378000,O
2009,67,-720208,1378000,O
2000,58,-772264,1378000,O
2010,68,-740982,1378000,O
2014,72,-640100,1378000,O
2006,64,-627377,1378000,O
2003,61,-706122,1378000,O
2006,64,-623454,1378000,O
2009,67,-734627,1378000,O
2010,68,-694243,1378000,O
1983,41,-711638,1378000,O
2009,67,-694243,1378000,O
2004,62,-659086,1378000,O
2004,62,-636525,1378000,O
2008,66,-917709,1378000,O
2011,69,-666618,1378000,O
2003,61,-715778,1378000,O
2005,63,-616583,1378000,O
2015,73,-618357,1378000,O
1993,51,-640922,1378000,O
1996,54,-631744,1378000,O
1997,55,-607741,1378000,O
1999,57,-691069,1378000,O
1993,51,-630925,1378000,O
1998,56,-763197,1378000,O
1991,49,-655379,1378000,O
1992,50,-631320,1378000,O
1986,44,-674062,1378000,O
1990,48,-677872,1378000,O
1994,52,-680709,1378000,O
1994,52,-676785,1378000,O
1992,50,-631320,1378000,O
1996,54,-561758,1378000,O
1992,50,-581575,1378000,O
1995,53,-664621,1378000,O
1996,54,-662872,1378000,O
2005,63,-666202,1378000,O
2016,74,-711208,1378000,O
2008,66,-717743,1378000,O
2013,71,-692506,1378000,O
2007,65,-668968,1378000,O
2016,74,-641336,1378000,O
2012,70,-650354,1378000,O
2005,63,-648436,1378000,O
2008,66,-649526,1378000,O
2008,66,-651299,1378000,O
2015,73,-692483,1378000,O
2000,58,-584942,1378000,O
2000,58,-571688,1378000,O
2002,60,-619077,1378000,O
2006,64,-630618,1378000,O
2006,64,-728789,1378000,O
2010,68,-694243,1378000,O
2010,68,-694243,1378000,O
2010,68,-694243,1378000,O
2002,60,-676785,1378000,O
2005,63,-676785,1378000,O
2007,65,-675698,1378000,O
2000,58,-584453,1378000,O
2005,63,-716874,1378000,O
2000,58,-697698,1378000,O
2002,60,-829115,1378000,O
2002,60,-580840,1378000,O
2006,64,-607745,1378000,O
2007,65,-589949,1378000,O
2009,67,-523887,1378000,O
2009,67,-700216,1378000,O
2009,67,-642081,1378000,O
2009,67,-668344,1378000,O
2010,68,-557474,1378000,O
2010,68,-631123,1378000,O
2010,68,-631123,1378000,O
2010,68,-631123,1378000,O
2010,68,-685967,1378000,O
2010,68,-723867,1378000,O
2010,68,-709275,1378000,O
2012,70,-1141156,1378000,O
2012,70,-1021816,1378000,O
2012,70,-556893,1378000,O
1975,33,-805675,1378000,O
1976,34,-586110,1378000,O
1980,38,-723867,1378000,O
1995,53,-703421,1378000,O
1997,55,-608674,1378000,O
1997,55,-725472,1378000,O
1998,56,-768540,1378000,O
1999,57,-754747,1378000,O
2004,62,-577290,1378000,O
1996,54,-681313,1378000,O
1992,50,-740931,1378000,O
1996,54,-810436,1378000,O
2010,68,-631123,1378000,O
2000,58,-547873,1378000,O
2002,60,-489437,1378000,O
2007,65,-629650,1378000,O
2006,64,-614315,1378000,O
2007,65,-666528,1378000,O
2001,59,-645079,1378000,O
2009,67,-629351,1378000,O
2009,67,-588430,1378000,O
2009,67,-788262,1378000,O
2009,67,-598559,1378000,O
2009,67,-610669,1378000,O
2009,67,-498697,1378000,O
1998,56,-624536,1378000,O
2002,60,-611817,1378000,O
2004,62,1112,1378000,O
1987,45,-709224,1378000,O
1997,55,-715318,1378000,O
1996,54,-723039,1378000,O
1986,44,-563910,1378000,O
1986,44,-561309,1378000,O
1987,45,-565705,1378000,O
1988,46,-539669,1378000,O
1996,54,-626309,1378000,O
1960,18,-751131,1378000,O
1999,57,-653142,1378000,O
1981,39,-741478,1378000,O
1986,44,-668552,1378000,O
2007,65,-751317,1378000,O
2000,58,-789362,1378000,O
2000,58,-789362,1378000,O
2002,60,-622197,1378000,O
2011,69,-697442,1378000,O
2014,72,-566856,1378000,O
2010,68,-473633,1378000,O
2007,65,-616524,1378000,O
2010,68,-670423,1378000,O
2006,64,-649123,1378000,O
2005,63,-834336,1378000,O
1975,33,-652112,1378000,O
2005,63,-781797,1378000,O
2011,69,-589751,1378000,O
2008,66,-699707,1378000,O
1990,48,-693176,1378000,O
1987,45,-626651,1378000,O
1989,47,-656016,1378000,O
1981,39,-835376,1378000,O
1981,39,-851563,1378000,O
1993,51,-704598,1378000,O
2014,72,-641276,1378000,O
2014,72,-613436,1378000,O
1998,56,-663432,1378000,O
1990,48,-602749,1378000,O
1990,48,-593930,1378000,O
1997,55,-734578,1378000,O
1989,47,-742100,1378000,O
1988,46,-796715,1378000,O
1988,46,-567962,1378000,O
1992,50,-744015,1378000,O
1986,44,-603521,1378000,O
2013,71,-633570,1378000,O
2015,73,-624250,1378000,O
2015,73,-640350,1378000,O
2013,71,-824934,1378000,O
2005,63,-711414,1378000,O
2007,65,-617225,1378000,O
2012,70,-633791,1378000,O
2012,70,-633193,1378000,O
2012,70,-632486,1378000,O
1994,52,-732463,1378000,O
1992,50,-743175,1378000,O
1989,47,-612682,1378000,O
1986,44,-602039,1378000,O
1986,44,-588669,1378000,O
1989,47,-616739,1378000,O
1989,47,-630604,1378000,O
1991,49,-620573,1378000,O
1983,41,-611928,1378000,O
1983,41,-592512,1378000,O
1988,46,-747137,1378000,O
2012,70,-666831,1378000,O
2005,63,-692518,1378000,O
2006,64,-693803,1378000,O
1980,38,-647999,1378000,O
1989,47,-641847,1378000,O
1982,40,-741026,1378000,O
1982,40,-748445,1378000,O
1981,39,-866344,1378000,O
1981,39,-863644,1378000,O
1982,40,-851275,1378000,O
1982,40,-652112,1378000,O
1982,40,-754396,1378000,O
1982,40,-633435,1378000,O
1982,40,-633435,1378000,O
1982,40,-714847,1378000,O
1982,40,-712708,1378000,O
1982,40,-602427,1378000,O
1982,40,-583369,1378000,O
1982,40,-691071,1378000,O
1982,40,-716530,1378000,O
1982,40,-730050,1378000,O
1982,40,-863862,1378000,O
1982,40,-634335,1378000,O
1982,40,-711414,1378000,O
1982,40,-758142,1378000,O
1982,40,-661645,1378000,O
1982,40,-633435,1378000,O
1982,40,-652564,1378000,O
1983,41,-725229,1378000,O
1983,41,-788852,1378000,O
1983,41,-742708,1378000,O
1984,42,-619629,1378000,O
1984,42,-710569,1378000,O
1984,42,-709051,1378000,O
1989,47,-642048,1378000,O
1988,46,-618661,1378000,O
1989,47,-771199,1378000,O
1986,44,-642367,1378000,O
1989,47,-647789,1378000,O
1987,45,-571376,1378000,O
1990,48,-640257,1378000,O
1990,48,-707261,1378000,O
1986,44,-734777,1378000,O
2012,70,-633721,1378000,O
2014,72,-654416,1378000,O
2013,71,-823983,1378000,O
2013,71,-702265,1378000,O
2013,71,-701325,1378000,O
2004,62,-692957,1378000,O
2013,71,-702265,1378000,O
1990,48,-821801,1378000,O
1990,48,-642271,1378000,O
1990,48,-587151,1378000,O
1989,47,-735413,1378000,O
1989,47,-653270,1378000,O
2013,71,-820648,1378000,O
1981,39,-861453,1378000,O
1988,46,-610558,1378000,O
1993,51,-647715,1378000,O
2012,70,-633721,1378000,O
2013,71,-702296,1378000,O
2004,62,-711638,1378000,O
1983,41,-595811,1378000,O
1984,42,-613085,1378000,O
1988,46,-601310,1378000,O
1983,41,-605352,1378000,O
1988,46,-709406,1378000,O
1984,42,-619322,1378000,O
1989,47,-696513,1378000,O
1989,47,-679286,1378000,O
1988,46,-574241,1378000,O
1984,42,-610987,1378000,O
1989,47,-681650,1378000,O
2012,70,-737202,1378000,O
1990,48,-706569,1378000,O
1977,35,-875935,1378000,O
1994,52,-708827,1378000,O
1989,47,-681650,1378000,O
1986,44,-578422,1378000,O
1979,37,-797157,1378000,O
1986,44,-740416,1378000,O
1982,40,-754396,1378000,O
1989,47,-712258,1378000,O
1997,55,-628962,1378000,O
1989,47,-835023,1378000,O
1988,46,-516389,1378000,O
1990,48,-755121,1378000,O
1987,45,-637346,1378000,O
1993,51,-626700,1378000,O
1989,47,-672481,1378000,O
2011,69,-631123,1378000,O
2013,71,-634391,1378000,O
2015,73,-627843,1378000,O
2015,73,-695782,1378000,O
2015,73,-653683,1378000,O
2015,73,-694175,1378000,O
2015,73,-696639,1378000,O
2015,73,-622852,1378000,O
2015,73,-622597,1378000,O
2015,73,-652998,1378000,O
2016,74,-696724,1378000,O
2016,74,-695703,1378000,O
2016,74,-626091,1378000,O
2016,74,-695293,1378000,O
2016,74,-709897,1378000,O
2016,74,-709613,1378000,O
2016,74,-694799,1378000,O
2016,74,-618629,1378000,O
2016,74,-626539,1378000,O
2016,74,-694663,1378000,O
2016,74,-709869,1378000,O
2016,74,-626881,1378000,O
2016,74,-694851,1378000,O
2016,74,-696881,1378000,O
2016,74,-620737,1378000,O
2016,74,-580345,1378000,O
2016,74,-698621,1378000,O
2016,74,-694851,1378000,O
2016,74,-641409,1378000,O
2016,74,-620270,1378000,O
2016,74,-695337,1378000,O
2016,74,-620957,1378000,O
2016,74,-695434,1378000,O
2016,74,-641409,1378000,O
2016,74,-620270,1378000,O
2016,74,-630476,1378000,O
2016,74,-695277,1378000,O
2016,74,-641336,1378000,O
2011,69,-595261,1378000,O
2013,71,-590519,1378000,O
2012,70,-632793,1378000,O
2012,70,-556760,1378000,O
2012,70,-577996,1378000,O
2012,70,-628982,1378000,O
2012,70,-633737,1378000,O
2012,70,-622239,1378000,O
2012,70,-649449,1378000,O
2012,70,-628218,1378000,O
2012,70,-695565,1378000,O
2012,70,-723980,1378000,O
2012,70,-737209,1378000,O
2012,70,-665999,1378000,O
2013,71,-632543,1378000,O
2013,71,-633535,1378000,O
2013,71,-695978,1378000,O
2013,71,-670123,1378000,O
2013,71,-630109,1378000,O
2013,71,-627596,1378000,O
2013,71,-694965,1378000,O
2015,73,-712194,1378000,O
2015,73,-623615,1378000,O
2015,73,-697119,1378000,O
2015,73,-629137,1378000,O
2014,72,-677472,1378000,O
1987,45,-739951,1378000,O
1989,47,-742100,1378000,O
1991,49,-741026,1378000,O
1989,47,-667661,1378000,O
1999,57,-749422,1378000,O
1979,37,-855314,1378000,O
1981,39,-861195,1378000,O
1981,39,-807789,1378000,O
1980,38,-761437,1378000,O
1978,36,-876827,1378000,O
1993,51,-623201,1378000,O
2013,71,-623110,1378000,O
2012,70,-777287,1378000,O
2002,60,-713793,1378000,O
2014,72,-613063,1378000,O
2014,72,-615197,1378000,O
2013,71,-633570,1378000,O
1990,48,-633788,1378000,O
1989,47,-623732,1378000,O
1988,46,-709672,1378000,O
1991,49,-707982,1378000,O
2016,74,-696858,1378000,O
1988,46,-683136,1378000,O
1984,42,-696375,1378000,O
1988,46,-725836,1378000,O
1982,40,-648469,1378000,O
1987,45,-648945,1378000,O
1989,47,-784398,1378000,O
1991,49,-785637,1378000,O
1989,47,-687265,1378000,O
1990,48,-622708,1378000,O
1999,57,-709499,1378000,O
2013,71,-785216,1378000,O
2015,73,-623004,1378000,O
2013,71,-632048,1378000,O
2013,71,-631347,1378000,O
2013,71,-701532,1378000,O
2014,72,-631392,1378000,O
2014,72,-695836,1378000,O
2013,71,-702265,1378000,O
2015,73,-628192,1378000,O
2005,63,-646920,1378000,O
2014,72,-621494,1378000,O
2015,73,-623144,1378000,O
2016,74,-626481,1378000,O
1987,45,-741885,1378000,O
1990,48,-706467,1378000,O
1988,46,-761784,1378000,O
2014,72,-695170,1378000,O
2014,72,-803455,1378000,O
2014,72,-640585,1378000,O
2014,72,-642029,1378000,O
2014,72,-695240,1378000,O
2014,72,-708332,1378000,O
1990,48,-661337,1378000,O
1997,55,-709723,1378000,O
